Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.042418,-5.836E-05,0.017336,0,0,0,0.63088,0.0019802,3.6377E-08,3.091E-05,0.0011784,2.0119E-08,0.0024461,0,0,0,0,0,0,package://livelybot_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/base_link.STL,,BODY-1,base_link_a,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
imu_link,0.0137089490024808,-2.94548196346016E-05,-0.0923185931780866,0,0,0,4.769,0.0808092488138549,8.98366603728616E-06,-0.00786465247064748,0.0675694550274403,1.41271229184058E-05,0.0287128301147392,0,0,0,0,0,0,package://livelybot_urdf/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/imu.STL,,,imu_a,imu_l,base_imu_joint,fixed,0,0,0.00572,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L_hip,0.0560469785532357,-6.40933923989895E-09,0.0465742815241479,0,0,0,0.116884292970712,3.7540266331977E-05,-9.42771492040107E-12,-4.36077137816932E-06,4.69555171175074E-05,-2.72493557400722E-12,4.32454239525254E-05,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_hip.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_hip.STL,,Yaw-L-1,L_hip_a,L_hip_l,L_hip_joint,revolute,0,0.075,0,3.1416,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
L_hip2,0.0309072230654156,-0.000858756081910141,0.0332451481987078,0,0,0,0.125448617656537,5.53521193479647E-05,-3.56340330502834E-06,-1.93226894229574E-05,7.99417228381797E-05,-1.84997816876284E-06,6.64062940642034E-05,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_hip2.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_hip2.STL,,Roll-L-1,L_hip2_a,L_hip2_l,L_hip2_joint,revolute,0.037,0,0.054,-1.5708,0,1.5708,L_hip,0,0,-1,0,0,0,0,,,,,,,,
L_thigh,0.0223260729573922,3.03576608295941E-18,0.0400536863070936,0,0,0,0.137807983904981,4.68049989970575E-05,-4.55991575251683E-20,3.01249192067359E-05,0.000231171478895831,8.22464509411909E-21,0.000224309841397752,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_thigh.STL,,leg-L-1,L_thigh_a,L_thigh_l,L_thigh_joint,revolute,0.0161,0,0.039,1.5708,0,-1.5708,L_hip2,0,0,-1,0,0,0,0,,,,,,,,
L_calf,0.0637217850662202,0.0045962102584563,0.0125678073048835,0,0,0,0.106343448636289,2.00356805610283E-05,3.32248264945443E-07,-1.28437033439576E-07,0.000119450065875996,-6.40774201031294E-08,0.000122526027150439,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_calf.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_calf.STL,,ankle-L-1,L_calf_a,L_calf_l,L_calf_joint,revolute,0.15,0,0.0161,-3.1416,0,0,L_thigh,0,0,1,0,0,0,0,,,,,,,,
L_toe,0.000834584120334044,-0.0112941816613386,6.46892758804363E-09,0,0,0,0.0187301054238791,1.17270430762399E-06,6.03537221578576E-07,1.89483242400211E-14,1.08896121231129E-05,3.6633857520274E-22,1.12731889139232E-05,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_toe.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/L_toe.STL,,Foot-L-1,L_toe_a,L_toe_l,L_toe_joint,revolute,0.16,0,0,-3.1416,0,-1.5708,L_calf,0,0,1,0,0,0,0,,,,,,,,
R_hip,0.0560469785532357,-6.40933922602116E-09,0.0465742815241478,0,0,0,0.116884292970712,3.7540266331977E-05,-9.42771492313437E-12,-4.36077137816932E-06,4.69555171175074E-05,-2.72493557242105E-12,4.32454239525254E-05,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_hip.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_hip.STL,,Yaw-R-1,R_hip_a,R_hip_l,R_hip_joint,revolute,0,-0.075,0,3.1416,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
R_hip2,0.0309072116551233,0.000858757175953094,0.0332451451614201,0,0,0,0.125448645563517,5.53521261009191E-05,3.56340110481497E-06,-1.93227169282725E-05,7.99417985454008E-05,1.8499802142557E-06,6.64063646851793E-05,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_hip2.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_hip2.STL,,Roll-R-1,R_hip2_a,R_hip2_l,R_hip2_joint,revolute,0.037,0,0.054,1.5708,0,-1.5708,R_hip,0,0,-1,0,0,0,0,,,,,,,,
R_thigh,0.0223260729573922,4.33680868994202E-19,0.0400536863070936,0,0,0,0.137807983904981,4.68049989970575E-05,1.39680883168296E-21,3.01249192067358E-05,0.00023117147889583,1.89032544259718E-21,0.000224309841397752,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_thigh.STL,,leg-R-1,R_thigh_a,R_thigh_l,R_thigh_joint,revolute,0.0161,0,0.039,-1.5708,0,1.5708,R_hip2,0,0,-1,0,0,0,0,,,,,,,,
R_calf,0.0637217850662202,-0.00459621025845629,0.0125678073048835,0,0,0,0.106343448636289,2.00356805610283E-05,-3.32248264945435E-07,-1.28437033439581E-07,0.000119450065875996,6.40774201031356E-08,0.000122526027150439,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_calf.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_calf.STL,,ankle-R-1,R_calf_a,R_calf_l,R_calf_joint,revolute,0.15,0,0.0161,3.1416,0,0,R_thigh,0,0,1,0,0,0,0,,,,,,,,
R_toe,0.000834580136385862,0.0112941643085711,1.02338218316289E-08,0,0,0,0.0187301054238791,1.17270430762399E-06,-6.03537221578577E-07,-1.89483250885368E-14,1.08896121231129E-05,3.50870101460927E-22,1.12731889139232E-05,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_toe.STL,1,1,1,1,0,0,0,0,0,0,package://livelybot_urdf/meshes/R_toe.STL,,Foot-R-1,R_toe_a,R_toe_l,R_toe_joint,revolute,0.16,0,0,3.1416,0,1.5708,R_calf,0,0,1,0,0,0,0,,,,,,,,
